name,designation,role,exit_brand,exit_type,exit_year,category,notes,source_url,linkedin_url
Michael Wystrach,founder,Co-founder & CEO,Freshly,acquisition,2020,Health/Wellness,"Healthy meal delivery, sold to Nestle",https://www.nestle.com/media/pressreleases/allpressreleases/nestle-usa-acquires-freshly,
Andrew Dudum,founder,Co-founder & CEO,Hims & Hers,IPO,2021,Health/Wellness,SPAC via Oaktree Acquisition,https://www.forbes.com/sites/katiejennings/2021/01/20/hims-hers-16-billion-spac/,
Hilary Coles,founder,Co-founder & SVP Brand/Innovation,Hims & Hers,IPO,2021,Health/Wellness,Co-founded 2017,https://www.caproasia.com/2025/05/09/hims-hers-co-founder/,
Joe Spector,founder,Co-founder,Hims & Hers,IPO,2021,Health/Wellness,Later founded Dutch,https://www.inc.com/anna-meyer/hims-founder-joe-spector-dutch.html,
Melissa Baird,alumni,Chief Operating Officer,Hims & Hers,IPO,2021,Health/Wellness,Operating chief through IPO scale-up,https://news.hims.com/newsroom/coo-melissa-baird,
Afton Vechery,founder,Co-founder & CEO,Modern Fertility,acquisition,2021,Health/Wellness,Sold to Ro for ~$225M,https://ro.co/press/ro-acquires-modern-fertility/,
Carly Leahy,founder,Co-founder & CMO,Modern Fertility,acquisition,2021,Health/Wellness,"Co-founder, brand/marketing",https://ro.co/press/ro-acquires-modern-fertility/,
Brad Harrington,founder,Co-founder & CEO,Olly,acquisition,2019,Health/Wellness,CEO through Unilever acquisition,https://en.wikipedia.org/wiki/Olly_(company),
Eric Ryan,founder,Co-founder,Olly,acquisition,2019,Health/Wellness,"Method/Olly founder, sold to Unilever",https://en.wikipedia.org/wiki/Olly_(company),
Kurt Workman,founder,Co-founder & CEO,Owlet,IPO,2021,Health/Wellness,"SPAC via Sandbridge, NYSE OWLT",https://www.mobihealthnews.com/news/baby-tech-owlet-nyse-spac,
Courtney Nichols Gould,founder,Co-founder & Co-CEO,SmartyPants Vitamins,acquisition,2020,Health/Wellness,Sold to Unilever,https://www.businesswire.com/news/home/20201125005872/en/Unilever-to-Acquire-SmartyPants-Vitamins,
Gordon Gould,founder,Co-founder & Co-CEO,SmartyPants Vitamins,acquisition,2020,Health/Wellness,Sold to Unilever,https://www.businesswire.com/news/home/20201125005872/en/Unilever-to-Acquire-SmartyPants-Vitamins,
Oren Frank,founder,Co-founder & CEO,Talkspace,IPO,2021,Health/Wellness,"Teletherapy SPAC, NASDAQ TALK",https://en.wikipedia.org/wiki/Talkspace,
Roni Frank,founder,Co-founder & Head of Clinical Services,Talkspace,IPO,2021,Health/Wellness,Co-founded with spouse Oren,https://en.wikipedia.org/wiki/Talkspace,
Rich Fulop,founder,Co-founder & CEO,Brooklinen,majority,2022,Home/Lifestyle,Majority to Summit Partners,https://www.summitpartners.com/news/brooklinen-50-million-growth-equity,
Vicki Fulop,founder,Co-founder,Brooklinen,majority,2022,Home/Lifestyle,Co-founded DTC bedding brand,https://www.summitpartners.com/news/brooklinen-50-million-growth-equity,
Neil Parikh,founder,Co-founder & COO,Casper,IPO,2020,Home/Lifestyle,Co-founder,https://en.wikipedia.org/wiki/Casper_Sleep,
Philip Krim,founder,Co-founder & CEO,Casper,IPO,2020,Home/Lifestyle,Led NYSE IPO Feb 2020,https://en.wikipedia.org/wiki/Casper_Sleep,
Emilie Arel,alumni,President & CCO then CEO,Casper,IPO,2020,Home/Lifestyle,"Joined 2019, later CEO",https://www.crunchbase.com/person/emilie-arel,
Maddy Moelis,founder,Co-founder,Great Jones,acquisition,2023,Home/Lifestyle,Co-founded cookware brand,https://www.prnewswire.com/news-releases/great-jones-acquired-by-meyer-301842470.html,
Sierra Tishgart,founder,Co-founder,Great Jones,acquisition,2023,Home/Lifestyle,DTC cookware acquired by Meyer,https://www.prnewswire.com/news-releases/great-jones-acquired-by-meyer-301842470.html,
Stuart Landesberg,founder,Co-founder & CEO,Grove Collaborative,IPO,2022,Home/Lifestyle,Went public via SPAC June 2022,https://en.wikipedia.org/wiki/Grove_Collaborative,
Shawn Nelson,founder,Founder & CEO,Lovesac,IPO,2018,Home/Lifestyle,Nasdaq IPO June 2018,https://www.deseret.com/2018/6/28/lovesac-56m-ipo/,
Jeneva Bell,founder,Founder & President,Ruggable,majority,2022,Home/Lifestyle,Washable rug brand; 2022 majority investment (investor unverified),https://businessofhome.com/articles/ruggable-s-overnight-success,
Jeff Jan,founder,Co-founder,Solo Brands (Solo Stove),IPO,2021,Home/Lifestyle,Co-founded fire pit brand 2011,https://www.cnbc.com/2023/02/14/solo-stove-fire-pit-company.html,
Spencer Jan,founder,Co-founder,Solo Brands (Solo Stove),IPO,2021,Home/Lifestyle,Co-founded with brother,https://www.cnbc.com/2023/02/14/solo-stove-fire-pit-company.html,
John Merris,alumni,CEO (non-founder),Solo Brands (Solo Stove),IPO,2021,Home/Lifestyle,CEO who led NYSE IPO,https://www.forbes.com/sites/pamdanziger/2022/12/20/solo-brands-a-year-after-ipo/,
Joe Traeger,founder,Founder,Traeger,IPO,2021,Home/Lifestyle,Invented wood-pellet grill,https://www.sec.gov/Archives/edgar/data/1857853/000119312521208779/d128215ds1.htm,
Jeremy Andrus,alumni,Chairman & CEO (non-founder),Traeger,IPO,2021,Home/Lifestyle,Led relaunch and NYSE IPO,https://investors.traeger.com/governance/board-of-directors/,
Daehee Park,founder,Co-founder,Tuft & Needle,acquisition,2018,Home/Lifestyle,Merged with Serta Simmons,https://www.forbes.com/sites/amyfeldman/2018/08/21/tuft-needle-serta-simmons/,
JT Marino,founder,Co-founder,Tuft & Needle,acquisition,2018,Home/Lifestyle,Merged with Serta Simmons,https://www.forbes.com/sites/amyfeldman/2018/08/21/tuft-needle-serta-simmons/,
Roy Seiders,founder,Co-founder,YETI,IPO,2018,Home/Lifestyle,Co-founded 2006,https://en.wikipedia.org/wiki/Yeti_Holdings,
Ryan Seiders,founder,Co-founder & Chairman,YETI,IPO,2018,Home/Lifestyle,Co-founded 2006,https://en.wikipedia.org/wiki/Yeti_Holdings,
Matt Reintjes,alumni,President & CEO (non-founder),YETI,IPO,2018,Home/Lifestyle,"CEO from 2015, led IPO",https://en.wikipedia.org/wiki/Yeti_Holdings,
Carly Strife,founder,Co-founder,BARK,IPO,2021,Pet,Co-founder,https://en.wikipedia.org/wiki/BarkBox,
Henrik Werdelin,founder,Co-founder,BARK,IPO,2021,Pet,"Co-founder, also founded Prehype",https://en.wikipedia.org/wiki/BarkBox,
Matt Meeker,founder,Co-founder & Executive Chairman,BARK,IPO,2021,Pet,"SPAC (Northern Star), Jun 2021",https://www.prnewswire.com/news-releases/bark-northern-star-closing-301303331.html,
Bill Bishop,founder,Co-founder & Chairman,Blue Buffalo,acquisition,2018,Pet,Acquired by General Mills ~$8B,https://www.generalmills.com/news/stories/it-all-started-with-a-dog-named-blue,
Billy Bishop,founder,Co-founder & President,Blue Buffalo,acquisition,2018,Pet,Later President of Pet at General Mills,https://www.aspenideas.org/speakers/william-billy-bishop-jr,
Kurt Schmidt,alumni,CEO (non-founder),Blue Buffalo,acquisition,2018,Pet,"CEO from 2012, led to GM sale",https://contracts.justia.com/companies/blue-buffalo-pet-products-inc-17592/,
Michael Day,founder,Co-founder & CTO,Chewy,IPO,2019,Pet,Co-founded Chewy in 2011,https://en.wikipedia.org/wiki/Chewy_(company),
Ryan Cohen,founder,Co-founder & CEO,Chewy,IPO,2019,Pet,Built pet e-commerce to NYSE IPO,https://en.wikipedia.org/wiki/Chewy_(company),
Sumit Singh,alumni,COO then CEO (non-founder),Chewy,IPO,2019,Pet,"Non-founder CEO from 2018, led through IPO",https://en.wikipedia.org/wiki/Chewy_(company),
Nate Phillips,founder,Co-founder & CEO,Nom Nom,acquisition,2022,Pet,Acquired by Mars Petcare,https://petcareinnovation.net/portfolio/nomnomnow/,
Zach Phillips,founder,Co-founder,Nom Nom,acquisition,2022,Pet,Co-founder,https://petcareinnovation.net/portfolio/nomnomnow/,
Michael Landa,founder,Founder & CEO,Nulo,majority,2021,Pet,Apax Partners took majority,https://www.just-food.com/news/pet-food-business-nulo-new-ownership/,
Aaron Easterly,founder,Co-founder & CEO,Rover,IPO,2021,Pet,SPAC (Nebula Caravel),https://en.wikipedia.org/wiki/Rover_(American_company),
Garrett Smallwood,alumni,CEO (non-founder),Wag!,IPO,2022,Pet,Non-founder CEO who led Feb 2022 SPAC IPO,https://en.wikipedia.org/wiki/Wag_(company),
Ben Jacobs,founder,Co-founder & CEO,Whistle,acquisition,2016,Pet,Acquired by Mars Petcare ~$117M,https://en.wikipedia.org/wiki/Whistle_(company),
